geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US21111011102,"Census Tract 111.02, Jefferson, KY",7081,521,6412,626,5361,625,638,243,65,90,292,335,14,21,0,16,42,44,0,16,42,44,669,429,422,295,0,16,0,16,0,16,0,16,247,329,0,16,0,16,0,16
14000US21111011106,"Census Tract 111.06, Jefferson, KY",7386,553,6946,591,4795,742,1524,718,6,10,338,268,0,16,0,16,283,253,0,16,283,253,440,288,75,81,200,195,0,16,0,16,0,16,165,202,0,16,0,16,0,16
14000US21111011109,"Census Tract 111.09, Jefferson, KY",1975,142,1818,167,1521,137,199,116,0,11,62,60,0,11,0,11,36,35,0,11,36,35,157,109,154,107,0,11,0,11,0,11,0,11,0,11,3,5,0,11,3,5
14000US21111011110,"Census Tract 111.10, Jefferson, KY",6513,422,6366,460,5915,379,394,256,0,16,0,16,0,16,12,23,45,56,0,16,45,56,147,134,120,124,0,16,0,16,0,16,0,16,0,16,27,33,0,16,27,33
14000US21111011111,"Census Tract 111.11, Jefferson, KY",5407,349,5099,430,3908,398,977,322,0,16,86,56,0,16,15,23,113,85,0,16,113,85,308,244,277,243,0,16,0,16,0,16,0,16,13,20,18,29,0,16,18,29
14000US21111011112,"Census Tract 111.12, Jefferson, KY",3458,290,3367,307,2355,263,865,229,0,11,35,45,10,17,63,125,39,41,0,11,39,41,91,84,71,82,0,11,0,11,0,11,0,11,20,22,0,11,0,11,0,11
14000US21111011113,"Census Tract 111.13, Jefferson, KY",2541,224,2497,218,1973,254,336,170,0,11,132,113,0,11,20,31,36,50,0,11,36,50,44,56,44,56,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111011114,"Census Tract 111.14, Jefferson, KY",5373,585,5110,585,3659,654,1305,277,0,16,60,42,0,16,0,16,86,93,0,16,86,93,263,220,80,75,0,16,0,16,0,16,0,16,183,208,0,16,0,16,0,16
14000US21111011200,"Census Tract 112, Jefferson, KY",4970,613,4685,635,2073,430,2335,569,0,11,135,135,0,11,0,11,142,109,0,11,142,109,285,139,255,130,15,23,0,11,0,11,0,11,15,25,0,11,0,11,0,11
14000US21111011301,"Census Tract 113.01, Jefferson, KY",2501,226,2049,203,696,136,1272,188,4,6,0,11,0,11,4,7,73,41,10,15,63,37,452,193,396,214,9,14,0,11,0,11,0,11,47,78,0,11,0,11,0,11
14000US21111011302,"Census Tract 113.02, Jefferson, KY",8138,896,7511,812,1010,219,6224,812,55,88,133,191,13,21,0,16,76,64,0,16,76,64,627,338,270,224,70,112,0,16,0,16,0,16,234,254,53,64,22,37,31,51
14000US21111011403,"Census Tract 114.03, Jefferson, KY",1953,133,1801,159,1680,164,42,32,0,11,14,21,0,11,3,4,62,51,0,11,62,51,152,81,85,74,56,69,2,3,0,11,0,11,0,11,9,13,0,11,9,13
14000US21111011404,"Census Tract 114.04, Jefferson, KY",3422,322,2357,333,1272,207,1015,253,0,11,8,13,0,11,0,11,62,67,0,11,62,67,1065,268,842,243,16,19,10,15,0,11,0,11,151,162,46,61,36,60,10,14
14000US21111011405,"Census Tract 114.05, Jefferson, KY",5825,758,5086,852,1617,649,2714,766,0,16,441,476,0,16,55,88,259,267,18,31,241,267,739,283,651,257,27,46,16,25,0,16,0,16,45,69,0,16,0,16,0,16
14000US21111011406,"Census Tract 114.06, Jefferson, KY",4550,433,3355,499,1679,287,1616,357,0,11,5,15,0,11,0,11,55,38,0,11,55,38,1195,355,1012,318,55,83,0,11,0,11,0,11,128,152,0,11,0,11,0,11
14000US21111011505,"Census Tract 115.05, Jefferson, KY",7602,445,6725,485,4831,459,1572,253,0,16,43,39,0,16,73,101,206,159,0,16,206,159,877,367,605,400,0,16,0,16,0,16,0,16,272,301,0,16,0,16,0,16
14000US21111011506,"Census Tract 115.06, Jefferson, KY",5247,391,4975,404,4000,480,844,390,0,16,59,66,0,16,15,24,57,65,0,16,57,65,272,251,130,158,0,16,0,16,0,16,0,16,142,217,0,16,0,16,0,16
14000US21111011508,"Census Tract 115.08, Jefferson, KY",6262,850,5433,420,3419,446,1537,234,0,16,298,124,0,16,20,31,159,139,0,16,159,139,829,898,156,108,0,16,0,16,0,16,0,16,673,892,0,16,0,16,0,16
14000US21111011509,"Census Tract 115.09, Jefferson, KY",4190,290,3810,367,2407,284,1042,329,0,11,27,35,0,11,0,11,334,213,0,11,334,213,380,230,137,129,188,225,0,11,0,11,0,11,33,51,22,35,8,13,14,22
14000US21111011513,"Census Tract 115.13, Jefferson, KY",3920,412,3462,320,3050,306,379,139,0,11,0,11,0,11,0,11,33,34,23,38,10,16,458,333,303,270,0,11,0,11,0,11,0,11,131,205,24,39,24,39,0,11
14000US21111011514,"Census Tract 115.14, Jefferson, KY",3270,256,3200,252,2731,249,289,155,0,11,86,89,0,11,0,11,94,63,29,44,65,53,70,76,32,41,0,11,0,11,0,11,0,11,38,66,0,11,0,11,0,11
14000US21111011515,"Census Tract 115.15, Jefferson, KY",5322,334,5214,336,4426,367,671,350,0,16,51,47,0,16,0,16,66,56,8,14,58,54,108,89,69,81,0,16,0,16,0,16,0,16,28,44,11,17,11,17,0,16
